URL's successfully downloaded,Size of the downloaded file,Number of Outlinks,Content-Type,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15410,23928,77,text/html,,,
https://cinema.usc.edu/news/2009.cfm,71011,122,text/html,,,
https://cinema.usc.edu/news/2013.cfm,134846,164,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15324,23532,79,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15327,22457,79,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15162,21889,78,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15165,24268,80,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15443,20393,77,text/html,,,
https://cinema.usc.edu/news/2011.cfm,136145,170,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15438,21909,78,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15430,24241,82,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15399,20433,77,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15228,23231,78,text/html,,,
https://cinema.usc.edu/news/2006.cfm,27032,82,text/html,,,
https://cinema.usc.edu/news/2014.cfm,168597,333,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15221,21594,78,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15180,21493,77,text/html,,,
https://cinema.usc.edu/news/2012.cfm,154093,182,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15336,20141,78,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15218,21621,79,text/html,,,
https://cinema.usc.edu/news/2008.cfm,99303,147,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15454,23552,79,text/html,,,
https://cinema.usc.edu/announcements/announcement.cfm?id=15212,25415,77,text/html,,,
https://cinema.usc.edu/summer/testimonials.cfm,28545,77,text/html,,,
https://cinema.usc.edu/summer/international.cfm,24720,75,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=15220,26205,79,text/html,,,
https://cinema.usc.edu/summer/faq.cfm,25393,75,text/html,,,
https://cinema.usc.edu/summer/classes.cfm,20366,77,text/html,,,
https://cinema.usc.edu/summer/minors.cfm,25563,75,text/html,,,
https://cinema.usc.edu/summer/videos.cfm,29592,111,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=15022,24405,78,text/html,,,
